name,url,category,brand,price,old_price,discount,image_url,scraped_at
Microphone thu âm Podcast/phòng thu/livestream Boya K5,https://cellphones.com.vn/microphone-thu-am-boya-k5.html,mic_thu_am,Unknown,1590000,1690000,"Giảm 
6%",https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/m/i/microphone-thu-am-boya-k5.png,2026-07-14T22:19:32.517126
Microphone thu âm không dây Gochek Ultra S25 - S2503,https://cellphones.com.vn/microphone-thu-am-khong-day-gochek-ultra-s25-s2503.html,mic_thu_am,Unknown,2327500,2450000,"Giảm 
5%",https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/m/i/microphone-thu-am-khong-day-gochek-ultra-s25-s2503_2.png,2026-07-14T22:19:32.591337
Microphone không dây DJI 3 (TX+TX+RX) 2 MIC,https://cellphones.com.vn/microphone-khong-day-dji-3-tx-tx-rx-2-mic.html,mic_thu_am,Unknown,6990000,9820000,"Giảm 
29%",https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/t/e/text_ng_n_-_2025-08-28t161506.282.png,2026-07-14T22:19:32.667655
Microphone thu âm không dây Hollyland Lark A1 combo USB-C + Lightning RX,https://cellphones.com.vn/bo-microphone-thu-am-hollyland-lark-a1-combo-usb-c-lightning-rx-trang.html,mic_thu_am,Unknown,1690000,1860000,"Giảm 
9%",https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/b/o/bo-microphone-thu-am-hollyland-lark-a1-combo-usb-c-lightning-rx-trang_2.png,2026-07-14T22:19:32.737391
Microphone không dây DJI Mic Mini 2 (2 TX + 1 MOBILE RX + CHARGING CASE),https://cellphones.com.vn/microphone-dien-thoai-dji-mic-mini-2-2-tx-1-rx.html,mic_thu_am,Unknown,2340000,,,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/m/i/microphone-dien-thoai-dji-mic-mini-2-2-tx-1-rx-7.jpg,2026-07-14T22:19:41.572916
Micro thu âm không dây Boya Link,https://cellphones.com.vn/mic-khong-day-boya-link.html,mic_thu_am,Unknown,2150000,2390000,"Giảm 
10%",https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/m/i/mic-khong-day-boya-link_12_.png,2026-07-14T22:19:43.588118
Microphone DJI MiniI 2 (TX+RX) 1 Mic,https://cellphones.com.vn/microphone-dji-mini-2-tx-rx-1-mic.html,mic_thu_am,Unknown,1745000,,,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/f/r/frame_804.jpg,2026-07-14T22:19:43.656505
Microphone thu âm Podcast Shure MV7+,https://cellphones.com.vn/microphone-thu-am-shure-mv7-plus.html,mic_thu_am,Unknown,9090000,10100000,"Giảm 
10%",https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/t/e/text_ng_n_-_2024-08-22t101632.188.png,2026-07-14T22:19:43.738972
Microphone thu âm có dây Devia Smart Type-C,https://cellphones.com.vn/microphone-thu-am-co-day-devia-smart-type-c.html,mic_thu_am,Unknown,190000,280000,"Giảm 
32%",https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/g/r/group_278_2.png,2026-07-14T22:19:43.830017
Microphone thu âm Podcast/phòng thu/Livestream Shure SM7B,https://cellphones.com.vn/microphone-thu-am-shure-sm7b.html,mic_thu_am,Unknown,14590000,17990000,"Giảm 
19%",https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/m/i/microphone-thu-am-shure-sm7b.png,2026-07-14T22:19:43.927921
Microphone thu âm không dây Hollyland Lark A1 Mini Duo USB-C RX,https://cellphones.com.vn/bo-microphone-thu-am-hollyland-lark-a1-mini-duo-usb-c-rx.html,mic_thu_am,Unknown,883500,930000,"Giảm 
5%",https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/b/o/bo-microphone-thu-am-hollyland-lark-a1-mini-duo-usb-c-rx_5_.png,2026-07-14T22:19:44.023601
Microphone thu âm không dây Boya Mini 2,https://cellphones.com.vn/microphone-thu-am-khong-day-boya-mini-2.html,mic_thu_am,Unknown,1390000,1490000,"Giảm 
7%",https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/m/i/microphone-thu-am-khong-day-boya-mini-2_1_.png,2026-07-14T22:19:44.103622
Microphone không dây DJI II (TX+RX) 1 Mic,https://cellphones.com.vn/microphone-khong-day-dji-ii-tx-rx-1-mic.html,mic_thu_am,Unknown,3756000,5490000,"Giảm 
32%",https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/m/i/microphone-khong-day-dji-ii-tx-rx-1-mic_12__2.png,2026-07-14T22:19:44.188687
Microphone thu âm không dây Hollyland Lark M2 Camera Duo Camera RX,https://cellphones.com.vn/bo-microphone-thu-am-hollyland-lark-m2-duo-camera-rx.html,mic_thu_am,Unknown,2337000,2460000,"Giảm 
5%",https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/b/o/bo-microphone-thu-am-hollyland-lark-m2-duo-camera-rx_1_.png,2026-07-14T22:19:44.274716
Microphone thu âm không dây Boya BY-V2 V2.0,https://cellphones.com.vn/microphone-khong-day-boya-by-v2.html,mic_thu_am,Unknown,890000,990000,"Giảm 
10%",https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/m/i/microphone-khong-day-boya-by-v2_1_.1.png,2026-07-14T22:19:44.349509
Microphone thu âm không dây Boya MIC 2 ( 1TX + 1RX ),https://cellphones.com.vn/microphone-thu-am-boya-mic-2-1tx-1rx.html,mic_thu_am,Unknown,2790000,3090000,"Giảm 
10%",https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/m/i/microphone-thu-am-boya-mic-2-1tx-1rx_6_.png,2026-07-14T22:19:44.427997
Bộ Micro Saramonic không dây Blink500 ProX B1,https://cellphones.com.vn/microphone-saramonic-blink-500-prox-b1.html,mic_thu_am,Unknown,2490000,3590000,"Giảm 
31%",https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/g/r/group_202_3.png,2026-07-14T22:19:44.514111
Microphone thu âm không dây Boya Mini,https://cellphones.com.vn/microphone-thu-am-khong-day-boya-mini.html,mic_thu_am,Unknown,1490000,,,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/m/i/microphone-thu-am-khong-day-boya-mini.png,2026-07-14T22:19:44.591997
Microphone thu âm không dây Boya BY-V1 V2.0,https://cellphones.com.vn/microphone-khong-day-boya-by-v1.html,mic_thu_am,Unknown,650000,750000,"Giảm 
13%",https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/m/i/microphone-khong-day-boya-by-v1.png,2026-07-14T22:19:44.682818
"Microphone thu âm không dây Boya Link 3 (2TX + 1RX + Lightning, Type-C Adapter)",https://cellphones.com.vn/microphone-thu-am-boya-link-3-2tx-1rx-lightning-type-c-adapter.html,mic_thu_am,Unknown,2790000,2990000,"Giảm 
7%",https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/m/i/microphone-thu-am-boya-link-3-2tx-1rx-lightning-type-c-adapter.png,2026-07-14T22:19:44.847001
