parent_id,parent_name,product_id,name,sku,color,price,special_price,final_price,discount_percent,stock,thumbnail,image_url
75443,Laptop Gaming Acer Nitro V ANV15-51-58AN,75444,Laptop Gaming Acer Nitro V ANV15-51-58AN-Đen,LAP-ACE-ANV15-51-58AN-NHQNASV001-I5-13420H-DN,Đen,21490000,16490000,16490000,23.27,0,/t/e/text_ng_n_9__4_5.png,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/t/e/text_ng_n_9__4_5.png
105183,Laptop ASUS ROG Strix G16 G615JMR-S5155W,105184,Laptop ASUS ROG Strix G16 G615JMR-S5155W-Xám,LAP-ASU-G16-G615JMR-S5155W-I7-14650HX-XA,Xám,54990000,49990000,49990000,9.09,0,/a/s/asusus_3.png,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/a/s/asusus_3.png
48695,Laptop Xiaomi RedmiBook 15 JYU4505AP,48696,Laptop Xiaomi RedmiBook 15 JYU4505AP-Đen,LAP-XIA-JYU4505AP-I3-1115G4-DN,Đen,10600000,9790000,9790000,7.64,0,/_/0/_0002_xiaomiredmibook15_01_1.jpg,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/_/0/_0002_xiaomiredmibook15_01_1.jpg
107067,Laptop ASUS TUF Gaming A14 FA401KM-RG010WS,107072,Laptop ASUS TUF Gaming A14 FA401KM-RG010WS-Xám,LAP-ASU-A14-FA401KM-RG010WS-AI7-350-XA,Xám,45190000,0,45190000,0.0,3,/t/e/text_ng_n_15_84.png,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/t/e/text_ng_n_15_84.png
127605,MacBook Air M5 15 inch 2026 10CPU 10GPU 24GB 512GB Sạc 70W | Chính hãng Apple Việt Nam,127606,MacBook Air M5 15 inch 2026 10CPU 10GPU 24GB 512GB Sạc 70W | Chính hãng Apple Việt Nam-Bạc,APP-MAC-AIR-15-M5-Z1LQ-24GB-512GB-2026-BA-70W-CH,Bạc,48990000,47990000,47990000,2.04,38,/b/_/b_c_3_18.png,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/b/_/b_c_3_18.png
127605,MacBook Air M5 15 inch 2026 10CPU 10GPU 24GB 512GB Sạc 70W | Chính hãng Apple Việt Nam,127607,MacBook Air M5 15 inch 2026 10CPU 10GPU 24GB 512GB Sạc 70W | Chính hãng Apple Việt Nam-Ánh sao,APP-MAC-AIR-15-M5-Z1LT-24GB-512GB-2026-TR-70W-CH,Ánh sao,48990000,47990000,47990000,2.04,19,/_/n/_nh_sao_1.png,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/_/n/_nh_sao_1.png
127605,MacBook Air M5 15 inch 2026 10CPU 10GPU 24GB 512GB Sạc 70W | Chính hãng Apple Việt Nam,127608,MacBook Air M5 15 inch 2026 10CPU 10GPU 24GB 512GB Sạc 70W | Chính hãng Apple Việt Nam-Đêm xanh thẳm,APP-MAC-AIR-15-M5-Z1LW-24GB-512GB-2026-DE-70W-CH,Đêm xanh thẳm,48990000,47990000,47990000,2.04,20,/_/e/_en_5_26.png,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/_/e/_en_5_26.png
127605,MacBook Air M5 15 inch 2026 10CPU 10GPU 24GB 512GB Sạc 70W | Chính hãng Apple Việt Nam,127609,MacBook Air M5 15 inch 2026 10CPU 10GPU 24GB 512GB Sạc 70W | Chính hãng Apple Việt Nam-Xanh da trời,APP-MAC-AIR-15-M5-Z1LZ-24GB-512GB-2026-XD-70W-CH,Xanh da trời,48990000,47990000,47990000,2.04,16,/x/a/xanh_d_ng_2_5.png,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/x/a/xanh_d_ng_2_5.png
110512,Laptop MSI Gaming Thin 15 B13UC-3247VN,110514,Laptop MSI Gaming Thin 15 B13UC-3247VN-Xám,LAP-MSI-THIN-15-B13UC-3247VN-I5-13420H-XA,Xám,26490000,19990000,19990000,24.54,0,/t/e/text_ng_n_2__10_59.png,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/t/e/text_ng_n_2__10_59.png
133921,Laptop HP EliteBook 6 G1I 13 BQ9L8PT,133922,Laptop HP EliteBook 6 G1I 13 BQ9L8PT-Bạc,LAP-HP-EB-6-G1I-13-BQ9L8PT-U5-225U-BA,Bạc,33290000,31290000,31290000,6.01,46,/x/_/x_m_2_111.png,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/x/_/x_m_2_111.png
