parent_id,parent_name,product_id,name,sku,color,price,special_price,final_price,discount_percent,stock,thumbnail,image_url
131824,Xiaomi 17T Pro 12GB 1TB,132230,Xiaomi 17T Pro 12GB 1TB-Đen,XIA-17T-PRO-5G-12GB-1TB-DN,Đen,26990000,24990000,24990000,7.41,62,/x/i/xiaomi-17t-pro_3.jpg,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/x/i/xiaomi-17t-pro_3.jpg
125580,iPhone 17e 512GB | Chính hãng,125586,iPhone 17e 512GB | Chính hãng-Trắng,APP-IP17E-512GB-TR-CH,Trắng,24490000,22990000,22990000,6.12,3,/i/p/iphone_17e-2-2_3.jpg,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/i/p/iphone_17e-2-2_3.jpg
125580,iPhone 17e 512GB | Chính hãng,125587,iPhone 17e 512GB | Chính hãng-Hồng,APP-IP17E-512GB-HO-CH,Hồng,24490000,22990000,22990000,6.12,7,/i/p/iphone_17e-2-1_3.jpg,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/i/p/iphone_17e-2-1_3.jpg
129677,Nubia Neo 5 5G 8GB 256GB,130166,Nubia Neo 5 5G 8GB 256GB-Đen,NUB-NEO-5-5G-8GB-256GB-DE,Đen,8490000,7990000,7990000,5.89,46,/d/i/dien-thoai-nubia-neo-5-5g-8gb-256gb.jpg,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/d/i/dien-thoai-nubia-neo-5-5g-8gb-256gb.jpg
129677,Nubia Neo 5 5G 8GB 256GB,130167,Nubia Neo 5 5G 8GB 256GB-Bạc,NUB-NEO-5-5G-8GB-256GB-BA,Bạc,8490000,7990000,7990000,5.89,54,/d/i/dien-thoai-nubia-neo-5-5g-8gb-256gb-1.jpg,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/d/i/dien-thoai-nubia-neo-5-5g-8gb-256gb-1.jpg
112185,Samsung Galaxy S25 FE 8GB 512GB,112187,Samsung Galaxy S25 FE 8GB 512GB-Trắng,SAM-S25-FE-S731-5G-8GB-512GB-TR,Trắng,25690000,17990000,17990000,29.97,15,/s/a/samsung-galaxy-s25-fe-white-1_2.jpg,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/s/a/samsung-galaxy-s25-fe-white-1_2.jpg
101116,Samsung Galaxy M55 5G 8GB 256GB,101164,Samsung Galaxy M55 5G 8GB 256GB-Đen,SAM-M55-5G-8GB-256GB-DN,Đen,10010000,6990000,6990000,30.17,0,/d/i/dien-thoai-samsung-galaxy-m55-5g-8gb-256gb.png,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/d/i/dien-thoai-samsung-galaxy-m55-5g-8gb-256gb.png
101116,Samsung Galaxy M55 5G 8GB 256GB,101165,Samsung Galaxy M55 5G 8GB 256GB-Xanh lá,SAM-M55-5G-8GB-256GB-XL,Xanh lá,10010000,6990000,6990000,30.17,0,/d/i/dien-thoai-samsung-galaxy-m55-5g-8gb-256gb_1_.png,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/d/i/dien-thoai-samsung-galaxy-m55-5g-8gb-256gb_1_.png
129678,Nubia Neo 5 GT 12GB 256GB,130158,Nubia Neo 5 GT 12GB 256GB-Đen,NUB-NEO-5-GT-5G-12GB-256GB-DN,Đen,11490000,9990000,9990000,13.05,66,/d/i/dien-thoai-nubia-neo-5-gt-12gb-256gb-1.jpg,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/d/i/dien-thoai-nubia-neo-5-gt-12gb-256gb-1.jpg
129678,Nubia Neo 5 GT 12GB 256GB,130159,Nubia Neo 5 GT 12GB 256GB-Bạc,NUB-NEO-5-GT-5G-12GB-256GB-BA,Bạc,11490000,9990000,9990000,13.05,143,/d/i/dien-thoai-nubia-neo-5-gt-12gb-256gb.jpg,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/d/i/dien-thoai-nubia-neo-5-gt-12gb-256gb.jpg
